date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:24:50	3000/3000	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Mar%202024%2016:24:50%20GMT	https://eth30.bi/index/index/post.html	E:/QQ/eth30.bi/index/index/post.html	(from https://eth30.bi/)
00:24:50	116/116	---MC-	200	added ('OK')	application/json	date:Tue,%2005%20Mar%202024%2016:24:50%20GMT	https://eth30.bi/index/index/tx.html	E:/QQ/eth30.bi/index/index/tx.json	(from https://eth30.bi/)
00:24:51	17/17	---MC-	200	added ('OK')	application/json	date:Tue,%2005%20Mar%202024%2016:24:50%20GMT	https://eth30.bi/index/index/getinitdata.html	E:/QQ/eth30.bi/index/index/getinitdata.json	(from https://eth30.bi/)
00:24:51	31611/31611	---M--	200	added ('OK')	image/jpeg	etag:%22653676db-7b7b%22	https://eth30.bi/static/images/member-bg.jpg	E:/QQ/eth30.bi/static/images/member-bg.jpg	(from https://eth30.bi/)
00:24:51	14174/14174	---M--	200	added ('OK')	image/jpeg	etag:%226547a6b2-375e%22	https://eth30.bi/static/picture/14.jpg	E:/QQ/eth30.bi/static/picture/14.jpg	(from https://eth30.bi/)
00:24:51	11771/11771	---M--	200	added ('OK')	image/jpeg	etag:%226547a5ed-2dfb%22	https://eth30.bi/static/picture/3.jpg	E:/QQ/eth30.bi/static/picture/3.jpg	(from https://eth30.bi/)
00:24:52	181168/181168	---M--	200	added ('OK')	image/jpeg	etag:%226547a563-2c3b0%22	https://eth30.bi/static/picture/1.jpg	E:/QQ/eth30.bi/static/picture/1.jpg	(from https://eth30.bi/)
00:24:52	11470/11470	---M--	200	added ('OK')	image/jpeg	etag:%226547a5f0-2cce%22	https://eth30.bi/static/picture/4.jpg	E:/QQ/eth30.bi/static/picture/4.jpg	(from https://eth30.bi/)
00:24:52	14551/14551	---M--	200	added ('OK')	image/jpeg	etag:%226547ab4f-38d7%22	https://eth30.bi/static/picture/5.jpg	E:/QQ/eth30.bi/static/picture/5.jpg	(from https://eth30.bi/)
00:24:52	11645/11645	---M--	200	added ('OK')	image/jpeg	etag:%226547ab50-2d7d%22	https://eth30.bi/static/picture/6.jpg	E:/QQ/eth30.bi/static/picture/6.jpg	(from https://eth30.bi/)
